id,nombre,lat,lon,categoria,descripcion,foto
1,Camino entre cultivos de ladera,38.625263,-0.131852,Camino o construcción rural,Carretera con quitamiedos junto a un cultivo de frutales y vegetación en la ladera del fondo.,fotos_ejemplo/DSC01684.JPG
2,Bancales de frutales en ladera,38.638875,-0.134108,Bancales / terrazas,"Ladera cultivada con frutales, escalonada en bancales sostenidos por muros de piedra seca.",fotos_ejemplo/DSC01923.JPG
3,Cítricos tras una valla de piedra,38.638955,-0.134095,Almendros o frutales,"Cítricos con frutos amarillos tras una valla metálica, sobre un margen de piedra.",fotos_ejemplo/DSC01924.JPG
4,Frutales jóvenes con muretes de piedra,38.638998,-0.134045,Almendros o frutales,"Plantación de frutales jóvenes sobre suelo seco, con muretes de piedra y montañas verdes al fondo.",fotos_ejemplo/DSC01925.JPG
5,Frutales con vegetación seca,38.59288,-0.062098,Almendros o frutales,Frutales junto a un terreno con vegetación seca y herbácea entre los árboles.,fotos_ejemplo/DSC02256.JPG
6,Olivo junto a un muro de piedra seca,38.59288,-0.062098,Olivar,"Olivo grande junto a un muro de piedra seca, sobre suelo claro y pedregoso.",fotos_ejemplo/DSC02257.JPG
7,Frutal en bancales de piedra seca,38.59288,-0.062098,Bancales / terrazas,Frutal en un bancal delimitado por muros de piedra seca dispuestos en terrazas.,fotos_ejemplo/DSC02258.JPG
8,"Frutal tras valla, suelo desnudo",38.657793,-0.101605,Almendros o frutales,"Frutal tras una valla metálica con portón, sobre suelo de tierra desnuda.",fotos_ejemplo/DSC02588.JPG
9,Cultivo de frutales junto a la ladera,38.657793,-0.101605,Almendros o frutales,"Cultivo de frutales tras valla y murete de piedra, con la ladera al fondo.",fotos_ejemplo/DSC02589.JPG
10,Frutales con la montaña al fondo,38.657908,-0.101631,Almendros o frutales,"Frutales tras una valla metálica sobre suelo seco, con una montaña difuminada al fondo.",fotos_ejemplo/DSC02590.JPG
11,Frutales junto a un camino,38.657948,-0.10166,Bancales / terrazas,"Frutales sobre un margen de piedra seca cubierto de hierba seca, junto a un camino.",fotos_ejemplo/DSC02591.JPG
12,Bancales cultivados y casas rurales,38.658143,-0.101758,Cultivo en uso,"Vista, a través de una valla, de bancales cultivados con frutales y construcciones rurales.",fotos_ejemplo/DSC02592.JPG
13,Hilera de frutales ante el matorral,38.668517,-0.11724,Almendros o frutales,"Hilera de frutales sobre suelo seco, con una ladera de matorral al fondo.",fotos_ejemplo/DSC02664.JPG
14,Matorral y árboles sobre el valle,38.669493,-0.118918,Matorral / regeneración,Árboles dispersos sobre suelo pedregoso con vegetación seca y vistas a un valle cultivado.,fotos_ejemplo/DSC02669.JPG
15,Frutales y muro con flores,38.63712,-0.11702,Vista de valle o ladera,"Frutales y un muro de piedra con flores, con montañas al fondo del valle.",fotos_ejemplo/DSC02775.JPG
16,Bancales escalonados de piedra seca,38.63712,-0.11702,Bancales / terrazas,"Muros de piedra seca escalonados en bancales, con frutales y vegetación seca encima.",fotos_ejemplo/DSC02776.JPG
17,Panorámica del valle cultivado,38.63712,-0.11702,Vista de valle o ladera,Panorámica de un valle con laderas cubiertas de cultivos de frutales y construcciones dispersas.,fotos_ejemplo/DSC02777.JPG
18,Frutales bajo malla en bancales,38.63712,-0.11702,Cultivo en uso,"Cultivo de frutales cubierto con malla protectora, sobre bancales de piedra seca.",fotos_ejemplo/DSC02778.JPG
